Category,PubType,DetailPageURL,Course,Title,Duration,Note,ReleaseDate,State,RetiredDate
Data & AI,Update,https://learn.microsoft.com/training/courses/ai-102t00,AI-102T00,Designing and Implementing a Microsoft Azure AI Solution,4,,21-oct-22,Released,
Data & AI,Update,https://learn.microsoft.com/training/courses/ai-900t00,AI-900T00,Microsoft Azure AI Fundamentals,1,,09-dic-22,Under Development,
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-010t00,AZ-010T00,Azure Administration for AWS SysOps,2,,18-jun-21,Closed,30-jun-22
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-020t00,AZ-020T00,Microsoft Azure solutions for AWS developers,3,,18-jun-21,Closed,30-jun-22
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-030t00,AZ-030T00,Microsoft Azure technologies for AWS architects,4,,11-jun-21,Closed,30-jun-22
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-040t00,AZ-040T00,Automating Administration with PowerShell,5,,16-dic-22,Under Development,
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-104t00,AZ-104T00,Microsoft Azure Administrator,4,,18-nov-22,Released,
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-120t00,AZ-120T00,Planning and Deploying SAP on Azure,4,,07-oct-22,Released,
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-140t00,AZ-140T00,Configuring and Operating Microsoft Azure Virtual Desktop,4,,09-dic-22,Under Development,
Azure Digital & App Innovation,Update,https://learn.microsoft.com/training/courses/az-204t00,AZ-204T00,Developing Solutions for Microsoft Azure,5,,18-nov-22,Released,
Azure Digital & App Innovation,Update,https://learn.microsoft.com/training/courses/az-220t00,AZ-220T00,Microsoft Azure IoT Developer,4,,16-dic-22,Under Development,
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-303t00,AZ-303T00,Microsoft Azure Architect Technologies,5,,24-sept-21,Closed,31-mar-22
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-304t00,AZ-304T00,Microsoft Azure Architect Design,4,,14-may-21,Closed,31-mar-22
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-305t00,AZ-305T00,Designing Microsoft Azure Infrastructure Solutions,4,,18-nov-22,Released,
Azure Digital & App Innovation,Update,https://learn.microsoft.com/training/courses/az-400t00,AZ-400T00,Designing and Implementing Microsoft DevOps solutions,4,,09-dic-22,Under Development,
Security,Update,https://learn.microsoft.com/training/courses/az-500t00,AZ-500T00,Microsoft Azure Security Technologies,4,,18-nov-22,Released,
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-600t00,AZ-600T00,Configuring and Operating a Hybrid Cloud with Microsoft Azure Stack Hub,4,,09-dic-22,Under Development,
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-700t00,AZ-700T00,Designing and Implementing Microsoft Azure Networking Solutions,3,,28-oct-22,Released,
Azure Infrastructure,New,https://learn.microsoft.com/training/courses/az-720t00,AZ-720T00,Azure Support Engineer Troubleshooting Azure Connectivity,3,,18-nov-22,Released,
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-800t00,AZ-800T00,Administering Windows Server Hybrid Core Infrastructure,4,,16-dic-22,Under Development,
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-801t00,AZ-801T00,Configuring Windows Server Hybrid Advanced Services,4,,16-dic-22,Under Development,
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-900t00,AZ-900T00,Microsoft Azure Fundamentals,1,,09-dic-22,Under Development,
Azure Infrastructure,Update,https://learn.microsoft.com/training/courses/az-900t01,AZ-900T01,Microsoft Azure Fundamentals (1 Day),1,,25-feb-22,Closed,30-jun-22
Data & AI,Update,https://learn.microsoft.com/training/courses/da-100t00,DA-100T00,Analyzing Data with Power BI,4,,19-nov-21,Closed,31-mar-22
Data & AI,Update,https://learn.microsoft.com/training/courses/dp-050t00,DP-050T00,Migrate SQL workloads to Azure,2,,19-nov-21,Released,31-ene-23
Data & AI,Update,https://learn.microsoft.com/training/courses/dp-060t00,DP-060T00,Migrate NoSQL workloads to Azure Cosmos DB,1,,11-nov-22,Released,31-ene-23
